bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
584592000,34.79,LocalSearchSolvers\ShaXo\src\solver.jl,234
459941760,27.37,LocalSearchSolvers\ShaXo\src\solver.jl,232
213111072,12.68,LocalSearchSolvers\ShaXo\src\utils.jl,27
202439744,12.05,LocalSearchSolvers\ShaXo\src\solver.jl,437
91988352,5.47,LocalSearchSolvers\ShaXo\src\solver.jl,231
39864736,2.37,LocalSearchSolvers\ShaXo\src\solver.jl,414
17497920,1.04,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
14609056,0.87,LocalSearchSolvers\ShaXo\src\solver.jl,436
14287712,0.85,LocalSearchSolvers\ShaXo\src\solver.jl,409
7560448,0.45,LocalSearchSolvers\ShaXo\src\solver.jl,246
5019888,0.3,LocalSearchSolvers\ShaXo\src\solver.jl,421
4654800,0.28,LocalSearchSolvers\ShaXo\src\solver.jl,251
3434240,0.2,LocalSearchSolvers\ShaXo\src\solver.jl,426
3263184,0.19,LocalSearchSolvers\ShaXo\src\solver.jl,309
2354112,0.14,LocalSearchSolvers\ShaXo\src\solver.jl,416
2086992,0.12,LocalSearchSolvers\ShaXo\src\solver.jl,438
2055488,0.12,LocalSearchSolvers\ShaXo\src\solver.jl,441
1166496,0.07,LocalSearchSolvers\ShaXo\src\solver.jl,281
1049072,0.06,LocalSearchSolvers\ShaXo\src\solver.jl,419
1031072,0.06,LocalSearchSolvers\ShaXo\src\solver.jl,408
933424,0.06,LocalSearchSolvers\ShaXo\src\solver.jl,544
889440,0.05,LocalSearchSolvers\ShaXo\src\solver.jl,454
589184,0.04,LocalSearchSolvers\ShaXo\src\solver.jl,405
563152,0.03,LocalSearchSolvers\ShaXo\src\utils.jl,19
533200,0.03,LocalSearchSolvers\ShaXo\src\solver.jl,304
487168,0.03,LocalSearchSolvers\ShaXo\src\solver.jl,481
438784,0.03,LocalSearchSolvers\ShaXo\src\utils.jl,17
432160,0.03,LocalSearchSolvers\ShaXo\src\solver.jl,244
418000,0.02,LocalSearchSolvers\ShaXo\src\pool.jl,19
409088,0.02,LocalSearchSolvers\ShaXo\src\solver.jl,222
313920,0.02,LocalSearchSolvers\ShaXo\src\solver.jl,389
291008,0.02,LocalSearchSolvers\ShaXo\src\solver.jl,424
209280,0.01,LocalSearchSolvers\ShaXo\src\utils.jl,13
209280,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,473
209216,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,546
147296,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,410
136160,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,443
131232,0.01,LocalSearchSolvers\ShaXo\src\strategies\tabu.jl,73
104640,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,472
104640,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,469
104640,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,390
104640,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,302
104640,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,301
104608,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,508
104608,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,381
88352,0.01,LocalSearchSolvers\ShaXo\src\solver.jl,484
73648,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,407
51136,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,369
50160,0.0,LocalSearchSolvers\ShaXo\src\pool.jl,22
25568,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,368
25024,0.0,LocalSearchSolvers\ShaXo\src\constraint.jl,12
22304,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,283
21328,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,313
11136,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,432
11136,0.0,LocalSearchSolvers\ShaXo\src\solver.jl,430
9632,0.0,LocalSearchSolvers\ShaXo\src\model.jl,264
6144,0.0,LocalSearchSolvers\ShaXo\src\state.jl,35
512,0.0,LocalSearchSolvers\ShaXo\src\variable.jl,17
512,0.0,LocalSearchSolvers\ShaXo\src\variable.jl,12
