bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
263641312,37.09,LocalSearchSolvers\0T9VY\src\solver.jl,129
207357200,29.17,LocalSearchSolvers\0T9VY\src\solver.jl,127
96088240,13.52,LocalSearchSolvers\0T9VY\src\constraint.jl,55
55663360,7.83,LocalSearchSolvers\0T9VY\src\utils.jl,27
41471440,5.83,LocalSearchSolvers\0T9VY\src\solver.jl,126
18065504,2.54,LocalSearchSolvers\0T9VY\src\solver.jl,297
7935840,1.12,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
3435792,0.48,LocalSearchSolvers\0T9VY\src\solver.jl,141
2258784,0.32,LocalSearchSolvers\0T9VY\src\solver.jl,304
2115728,0.3,LocalSearchSolvers\0T9VY\src\solver.jl,146
1900928,0.27,LocalSearchSolvers\0T9VY\src\solver.jl,318
1725440,0.24,LocalSearchSolvers\0T9VY\src\solver.jl,309
1250928,0.18,LocalSearchSolvers\0T9VY\src\solver.jl,204
1061520,0.15,LocalSearchSolvers\0T9VY\src\solver.jl,299
950464,0.13,LocalSearchSolvers\0T9VY\src\solver.jl,319
934464,0.13,LocalSearchSolvers\0T9VY\src\solver.jl,322
529024,0.07,LocalSearchSolvers\0T9VY\src\solver.jl,176
475408,0.07,LocalSearchSolvers\0T9VY\src\solver.jl,302
416464,0.06,LocalSearchSolvers\0T9VY\src\solver.jl,402
401200,0.06,LocalSearchSolvers\0T9VY\src\solver.jl,335
254208,0.04,LocalSearchSolvers\0T9VY\src\solver.jl,289
244112,0.03,LocalSearchSolvers\0T9VY\src\solver.jl,362
205312,0.03,LocalSearchSolvers\0T9VY\src\solver.jl,117
204400,0.03,LocalSearchSolvers\0T9VY\src\solver.jl,199
203824,0.03,LocalSearchSolvers\0T9VY\src\utils.jl,19
202240,0.03,LocalSearchSolvers\0T9VY\src\utils.jl,17
190960,0.03,LocalSearchSolvers\0T9VY\src\solver.jl,139
165200,0.02,LocalSearchSolvers\0T9VY\src\solver.jl,273
130944,0.02,LocalSearchSolvers\0T9VY\src\solver.jl,307
127104,0.02,LocalSearchSolvers\0T9VY\src\solver.jl,292
118000,0.02,LocalSearchSolvers\0T9VY\src\solver.jl,354
117920,0.02,LocalSearchSolvers\0T9VY\src\solver.jl,264
94400,0.01,LocalSearchSolvers\0T9VY\src\utils.jl,13
94336,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,404
94336,0.01,LocalSearchSolvers\0T9VY\src\constraint.jl,12
70800,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,353
70800,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,350
63552,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,293
63200,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,324
47200,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,274
47200,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,197
47200,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,196
47168,0.01,LocalSearchSolvers\0T9VY\src\solvers\meta.jl,11
47168,0.01,LocalSearchSolvers\0T9VY\src\solver.jl,263
33520,0.0,LocalSearchSolvers\0T9VY\src\options.jl,259
32080,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,251
31776,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,291
19568,0.0,LocalSearchSolvers\0T9VY\src\options.jl,255
19248,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,252
15488,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,365
13600,0.0,LocalSearchSolvers\0T9VY\src\pool.jl,19
12832,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,250
9632,0.0,LocalSearchSolvers\0T9VY\src\model.jl,268
8176,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,208
6528,0.0,LocalSearchSolvers\0T9VY\src\fluct.jl,4
6144,0.0,LocalSearchSolvers\0T9VY\src\state.jl,38
4864,0.0,LocalSearchSolvers\0T9VY\src\state.jl,35
1632,0.0,LocalSearchSolvers\0T9VY\src\pool.jl,22
768,0.0,CompositionalNetworks\rWuDs\src\icn.jl,26
736,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,178
576,0.0,CompositionalNetworks\rWuDs\src\utils.jl,29
512,0.0,LocalSearchSolvers\0T9VY\src\variable.jl,17
512,0.0,LocalSearchSolvers\0T9VY\src\variable.jl,12
464,0.0,LocalSearchSolvers\0T9VY\src\model.jl,65
384,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,38
384,0.0,LocalSearchSolvers\0T9VY\src\strategy.jl,11
384,0.0,LocalSearchSolvers\0T9VY\src\state.jl,40
384,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,37
384,0.0,LocalSearchSolvers\0T9VY\src\configuration.jl,23
352,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,315
352,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,313
336,0.0,LocalSearchSolvers\0T9VY\src\solvers\lead.jl,19
304,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,38
304,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,36
304,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,13
288,0.0,LocalSearchSolvers\0T9VY\src\model.jl,371
288,0.0,LocalSearchSolvers\0T9VY\src\model.jl,370
272,0.0,LocalSearchSolvers\0T9VY\src\solvers\lead.jl,22
272,0.0,LocalSearchSolvers\0T9VY\src\model.jl,372
256,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,34
256,0.0,LocalSearchSolvers\0T9VY\src\model.jl,367
224,0.0,LocalSearchSolvers\0T9VY\src\state.jl,42
224,0.0,LocalSearchSolvers\0T9VY\src\solvers\meta.jl,27
192,0.0,CompositionalNetworks\rWuDs\src\layer.jl,66
176,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,75
176,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,42
160,0.0,CompositionalNetworks\rWuDs\src\icn.jl,27
144,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,225
144,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,220
144,0.0,LocalSearchSolvers\0T9VY\src\model.jl,380
112,0.0,LocalSearchSolvers\0T9VY\src\model.jl,363
96,0.0,LocalSearchSolvers\0T9VY\src\configuration.jl,27
64,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,41
64,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,450
64,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,234
64,0.0,LocalSearchSolvers\0T9VY\src\model.jl,368
64,0.0,LocalSearchSolvers\0T9VY\src\model.jl,366
48,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,40
48,0.0,LocalSearchSolvers\0T9VY\src\solvers\lead.jl,21
32,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,99
32,0.0,LocalSearchSolvers\0T9VY\src\solvers\lead.jl,34
32,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,371
32,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,228
32,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,227
32,0.0,LocalSearchSolvers\0T9VY\src\solver.jl,226
16,0.0,LocalSearchSolvers\0T9VY\src\solvers\main.jl,93
16,0.0,LocalSearchSolvers\0T9VY\src\model.jl,378
16,0.0,LocalSearchSolvers\0T9VY\src\model.jl,376
16,0.0,LocalSearchSolvers\0T9VY\src\model.jl,375
16,0.0,LocalSearchSolvers\0T9VY\src\model.jl,374
16,0.0,LocalSearchSolvers\0T9VY\src\model.jl,364
0,0.0,LocalSearchSolvers\0T9VY\src\variable.jl,58
0,0.0,LocalSearchSolvers\0T9VY\src\variable.jl,38
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,28
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,26
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,22
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,18
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,15
0,0.0,LocalSearchSolvers\0T9VY\src\utils.jl,14
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,48
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,32
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,31
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,30
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,29
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,28
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,27
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,26
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,24
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,22
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,21
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,20
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,19
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,18
0,0.0,LocalSearchSolvers\0T9VY\src\time_stamps.jl,17
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,83
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,73
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,66
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,60
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,48
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\tabu.jl,30
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\restart.jl,62
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\restart.jl,61
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\restart.jl,59
0,0.0,LocalSearchSolvers\0T9VY\src\strategies\restart.jl,58
0,0.0,LocalSearchSolvers\0T9VY\src\state.jl,160
