bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
253884896,36.69,LocalSearchSolvers\pRoCn\src\solver.jl,227
146586624,21.18,LocalSearchSolvers\pRoCn\src\solver.jl,225
106175136,15.34,LocalSearchSolvers\pRoCn\src\model.jl,454
88380160,12.77,LocalSearchSolvers\pRoCn\src\solver.jl,430
39931760,5.77,LocalSearchSolvers\pRoCn\src\solver.jl,224
17377856,2.51,LocalSearchSolvers\pRoCn\src\solver.jl,407
7658160,1.11,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
6377952,0.92,LocalSearchSolvers\pRoCn\src\solver.jl,429
6152128,0.89,LocalSearchSolvers\pRoCn\src\solver.jl,402
3307120,0.48,LocalSearchSolvers\pRoCn\src\solver.jl,239
2433216,0.35,LocalSearchSolvers\pRoCn\src\solver.jl,414
2038544,0.29,LocalSearchSolvers\pRoCn\src\solver.jl,244
1699200,0.25,LocalSearchSolvers\pRoCn\src\solver.jl,419
1268064,0.18,LocalSearchSolvers\pRoCn\src\solver.jl,302
1053504,0.15,LocalSearchSolvers\pRoCn\src\solver.jl,409
911136,0.13,LocalSearchSolvers\pRoCn\src\solver.jl,431
898048,0.13,LocalSearchSolvers\pRoCn\src\solver.jl,434
510544,0.07,LocalSearchSolvers\pRoCn\src\utils.jl,27
510512,0.07,LocalSearchSolvers\pRoCn\src\solver.jl,274
457312,0.07,LocalSearchSolvers\pRoCn\src\solver.jl,412
443968,0.06,LocalSearchSolvers\pRoCn\src\solver.jl,401
413296,0.06,LocalSearchSolvers\pRoCn\src\solver.jl,550
398208,0.06,LocalSearchSolvers\pRoCn\src\solver.jl,447
253696,0.04,LocalSearchSolvers\pRoCn\src\solver.jl,398
223696,0.03,LocalSearchSolvers\pRoCn\src\solver.jl,474
207200,0.03,LocalSearchSolvers\pRoCn\src\solver.jl,297
203264,0.03,LocalSearchSolvers\pRoCn\src\solver.jl,215
203264,0.03,LocalSearchSolvers\pRoCn\src\model.jl,219
202112,0.03,LocalSearchSolvers\pRoCn\src\utils.jl,17
198096,0.03,LocalSearchSolvers\pRoCn\src\utils.jl,19
190320,0.03,LocalSearchSolvers\pRoCn\src\solver.jl,237
141056,0.02,LocalSearchSolvers\pRoCn\src\solver.jl,417
140544,0.02,LocalSearchSolvers\pRoCn\src\solver.jl,382
131200,0.02,LocalSearchSolvers\pRoCn\src\pool.jl,19
93696,0.01,LocalSearchSolvers\pRoCn\src\utils.jl,13
93696,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,466
93632,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,552
63424,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,403
59936,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,436
57248,0.01,LocalSearchSolvers\pRoCn\src\strategies\tabu.jl,73
46848,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,465
46848,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,462
46848,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,383
46848,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,294
46848,0.01,LocalSearchSolvers\pRoCn\src\model.jl,159
46816,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,501
46816,0.01,LocalSearchSolvers\pRoCn\src\solver.jl,374
33968,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,477
33200,0.0,LocalSearchSolvers\pRoCn\src\options.jl,259
31712,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,400
25408,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,362
19376,0.0,LocalSearchSolvers\pRoCn\src\options.jl,255
19056,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,363
15744,0.0,LocalSearchSolvers\pRoCn\src\pool.jl,22
12704,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,361
9632,0.0,LocalSearchSolvers\pRoCn\src\model.jl,268
8288,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,306
7008,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,276
6144,0.0,LocalSearchSolvers\pRoCn\src\state.jl,35
3488,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,425
3488,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,423
464,0.0,LocalSearchSolvers\pRoCn\src\model.jl,65
384,0.0,LocalSearchSolvers\pRoCn\src\strategy.jl,10
384,0.0,LocalSearchSolvers\pRoCn\src\state.jl,37
384,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,142
352,0.0,LocalSearchSolvers\pRoCn\src\configuration.jl,23
336,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,90
304,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,143
304,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,141
304,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,67
272,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,93
224,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,580
176,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,527
176,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,147
144,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,320
144,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,315
128,0.0,LocalSearchSolvers\pRoCn\src\state.jl,38
96,0.0,LocalSearchSolvers\pRoCn\src\configuration.jl,27
64,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,658
64,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,329
64,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,146
48,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,145
48,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,92
32,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,626
32,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,607
32,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,483
32,0.0,LocalSearchSolvers\pRoCn\src\solver.jl,323
