bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
1567519280,40.29,LocalSearchSolvers\VVIqo\src\solver.jl,129
1234185120,31.72,LocalSearchSolvers\VVIqo\src\solver.jl,127
571861056,14.7,LocalSearchSolvers\VVIqo\src\utils.jl,27
246837024,6.34,LocalSearchSolvers\VVIqo\src\solver.jl,126
106381760,2.73,LocalSearchSolvers\VVIqo\src\solver.jl,297
46338240,1.19,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
20085632,0.52,LocalSearchSolvers\VVIqo\src\solver.jl,141
12340208,0.32,LocalSearchSolvers\VVIqo\src\solver.jl,146
11165056,0.29,LocalSearchSolvers\VVIqo\src\solver.jl,318
10953888,0.28,LocalSearchSolvers\VVIqo\src\solver.jl,304
9248544,0.24,LocalSearchSolvers\VVIqo\src\solver.jl,204
8353280,0.21,LocalSearchSolvers\VVIqo\src\solver.jl,309
5863200,0.15,LocalSearchSolvers\VVIqo\src\solver.jl,299
5582528,0.14,LocalSearchSolvers\VVIqo\src\solver.jl,319
5478112,0.14,LocalSearchSolvers\VVIqo\src\solver.jl,322
3089184,0.08,LocalSearchSolvers\VVIqo\src\solver.jl,176
2799520,0.07,LocalSearchSolvers\VVIqo\src\solver.jl,302
2337136,0.06,LocalSearchSolvers\VVIqo\src\solver.jl,402
2215168,0.06,LocalSearchSolvers\VVIqo\src\solver.jl,335
1526016,0.04,LocalSearchSolvers\VVIqo\src\solver.jl,289
1511200,0.04,LocalSearchSolvers\VVIqo\src\solver.jl,199
1305968,0.03,LocalSearchSolvers\VVIqo\src\utils.jl,19
1274768,0.03,LocalSearchSolvers\VVIqo\src\solver.jl,362
1099008,0.03,LocalSearchSolvers\VVIqo\src\solver.jl,139
1004992,0.03,LocalSearchSolvers\VVIqo\src\utils.jl,17
929792,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,117
912128,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,273
763008,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,292
651520,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,354
651440,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,264
635008,0.02,LocalSearchSolvers\VVIqo\src\solver.jl,307
619600,0.02,LocalSearchSolvers\VVIqo\src\pool.jl,19
521216,0.01,LocalSearchSolvers\VVIqo\src\utils.jl,13
521152,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,404
390912,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,353
390912,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,350
381504,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,293
364992,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,324
260608,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,274
260608,0.01,LocalSearchSolvers\VVIqo\src\solver.jl,197
