bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\,linenumber
304454176,36.69,LocalSearchSolvers\rXwy9\src\solver.jl,229
175774112,21.18,LocalSearchSolvers\rXwy9\src\solver.jl,227
127309472,15.34,LocalSearchSolvers\rXwy9\src\model.jl,450
106007808,12.77,LocalSearchSolvers\rXwy9\src\solver.jl,432
47882704,5.77,LocalSearchSolvers\rXwy9\src\solver.jl,226
20847104,2.51,LocalSearchSolvers\rXwy9\src\solver.jl,409
9192240,1.11,Constraints\9vKsa\src\compositions\icn_all_different.jl,2
7650048,0.92,LocalSearchSolvers\rXwy9\src\solver.jl,431
7325440,0.88,LocalSearchSolvers\rXwy9\src\solver.jl,404
3969952,0.48,LocalSearchSolvers\rXwy9\src\solver.jl,241
2954304,0.36,LocalSearchSolvers\rXwy9\src\solver.jl,416
2446768,0.29,LocalSearchSolvers\rXwy9\src\solver.jl,246
2069760,0.25,LocalSearchSolvers\rXwy9\src\solver.jl,421
1471248,0.18,LocalSearchSolvers\rXwy9\src\solver.jl,304
1266144,0.15,LocalSearchSolvers\rXwy9\src\solver.jl,411
1092864,0.13,LocalSearchSolvers\rXwy9\src\solver.jl,433
1077984,0.13,LocalSearchSolvers\rXwy9\src\solver.jl,436
612816,0.07,LocalSearchSolvers\rXwy9\src\utils.jl,27
612784,0.07,LocalSearchSolvers\rXwy9\src\solver.jl,276
548608,0.07,LocalSearchSolvers\rXwy9\src\solver.jl,414
528640,0.06,LocalSearchSolvers\rXwy9\src\solver.jl,403
498256,0.06,LocalSearchSolvers\rXwy9\src\solver.jl,539
478448,0.06,LocalSearchSolvers\rXwy9\src\solver.jl,449
302080,0.04,LocalSearchSolvers\rXwy9\src\solver.jl,400
268576,0.03,LocalSearchSolvers\rXwy9\src\solver.jl,476
252416,0.03,LocalSearchSolvers\rXwy9\src\solver.jl,217
252416,0.03,LocalSearchSolvers\rXwy9\src\model.jl,215
241664,0.03,LocalSearchSolvers\rXwy9\src\utils.jl,17
240400,0.03,LocalSearchSolvers\rXwy9\src\solver.jl,299
235904,0.03,LocalSearchSolvers\rXwy9\src\utils.jl,19
228240,0.03,LocalSearchSolvers\rXwy9\src\solver.jl,239
171264,0.02,LocalSearchSolvers\rXwy9\src\solver.jl,419
168864,0.02,LocalSearchSolvers\rXwy9\src\solver.jl,384
163600,0.02,LocalSearchSolvers\rXwy9\src\pool.jl,19
112576,0.01,LocalSearchSolvers\rXwy9\src\utils.jl,13
112576,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,468
112512,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,541
75520,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,405
71168,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,438
68064,0.01,LocalSearchSolvers\rXwy9\src\strategies\tabu.jl,73
56288,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,467
56288,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,464
56288,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,385
56288,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,296
56288,0.01,LocalSearchSolvers\rXwy9\src\model.jl,155
56256,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,503
56256,0.01,LocalSearchSolvers\rXwy9\src\solver.jl,376
41008,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,479
40832,0.0,LocalSearchSolvers\rXwy9\src\options.jl,259
37760,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,402
31552,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,364
23984,0.0,LocalSearchSolvers\rXwy9\src\options.jl,255
23664,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,365
19632,0.0,LocalSearchSolvers\rXwy9\src\pool.jl,22
15776,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,363
9632,0.0,LocalSearchSolvers\rXwy9\src\model.jl,264
9616,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,308
8736,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,278
6144,0.0,LocalSearchSolvers\rXwy9\src\state.jl,35
4352,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,427
4352,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,425
448,0.0,LocalSearchSolvers\rXwy9\src\model.jl,62
384,0.0,LocalSearchSolvers\rXwy9\src\strategy.jl,10
384,0.0,LocalSearchSolvers\rXwy9\src\state.jl,37
384,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,141
352,0.0,LocalSearchSolvers\rXwy9\src\configuration.jl,23
336,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,89
304,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,142
304,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,140
288,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,67
272,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,92
224,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,569
176,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,146
160,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,528
144,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,322
144,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,317
128,0.0,LocalSearchSolvers\rXwy9\src\state.jl,38
96,0.0,LocalSearchSolvers\rXwy9\src\configuration.jl,27
64,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,644
64,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,331
64,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,145
48,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,144
48,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,91
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,615
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,596
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,485
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,325
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,324
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,323
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,206
32,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,204
16,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,559
0,0.0,LocalSearchSolvers\rXwy9\src\variable.jl,58
0,0.0,LocalSearchSolvers\rXwy9\src\variable.jl,38
0,0.0,LocalSearchSolvers\rXwy9\src\variable.jl,25
0,0.0,LocalSearchSolvers\rXwy9\src\utils.jl,22
0,0.0,LocalSearchSolvers\rXwy9\src\utils.jl,18
0,0.0,LocalSearchSolvers\rXwy9\src\utils.jl,15
0,0.0,LocalSearchSolvers\rXwy9\src\utils.jl,14
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,24
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,22
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,21
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,20
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,19
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,18
0,0.0,LocalSearchSolvers\rXwy9\src\time_stamps.jl,17
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\tabu.jl,83
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\tabu.jl,60
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\tabu.jl,48
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\tabu.jl,30
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,47
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,46
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,44
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,43
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,35
0,0.0,LocalSearchSolvers\rXwy9\src\strategies\restart.jl,11
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,156
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,155
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,154
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,149
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,148
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,147
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,144
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,143
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,142
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,135
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,129
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,123
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,117
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,111
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,105
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,99
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,93
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,75
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,69
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,63
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,57
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,51
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,45
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,34
0,0.0,LocalSearchSolvers\rXwy9\src\state.jl,33
0,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,652
0,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,651
0,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,650
0,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,649
0,0.0,LocalSearchSolvers\rXwy9\src\solver.jl,648
